key,val
2203533486.02887326796.058801.0443.0,s37-eth1
2529070520.03698792201.080.062077.0,s38-eth1
2529050325.03629795797.049959.0443.0,s39-eth1
2918461227.02203460753.0443.060069.0,s40-eth1
2247440199.02691237601.062836.0443.0,s37-eth1
2246429289.0885046416.054553.0443.0,s38-eth1
2203521666.02887326172.054634.0443.0,s39-eth1
2203537814.01816743488.060121.0443.0,s40-eth1
2529098652.01917782271.080.010095.0,s37-eth1
1863768233.02529098652.031429.080.0,s38-eth1
3520168253.02529094672.037158.025.0,s39-eth1
2203576121.01256344703.062197.0443.0,s40-eth1
2203533444.01729296937.055854.05161.0,s37-eth1
2246440352.01736118650.053432.0443.0,s38-eth1
2246440352.01736118650.053433.0443.0,s39-eth1
2887326190.02203464358.0443.049869.0,s40-eth1
3389795842.02918461417.055778.0443.0,s37-eth1
2209292774.0167772162.01818.080.0,s38-eth1
2854922052.0167772162.01819.080.0,s39-eth1
4241165532.0167772162.01820.080.0,s40-eth1
2726805149.0167772162.01821.080.0,s37-eth1
3917908698.0167772162.01822.080.0,s38-eth1
1581146608.0167772162.01823.080.0,s39-eth1
3171138092.0167772162.01824.080.0,s40-eth1
3368722146.0167772162.01825.080.0,s37-eth1
160652512.0167772162.01826.080.0,s38-eth1
2115203292.0167772162.01827.080.0,s39-eth1
2103094426.0167772162.01828.080.0,s40-eth1
1673061375.0167772162.01829.080.0,s37-eth1
2657331361.0167772162.01830.080.0,s38-eth1
3417307924.0167772162.01831.080.0,s39-eth1
1675682471.0167772162.01832.080.0,s40-eth1
3010356316.0167772162.01833.080.0,s37-eth1
2710170928.0167772162.01834.080.0,s38-eth1
2773975549.0167772162.01835.080.0,s39-eth1
2985013717.0167772162.01836.080.0,s40-eth1
80182580.0167772162.01837.080.0,s37-eth1
750355435.0167772162.01838.080.0,s38-eth1
185390023.0167772162.01839.080.0,s39-eth1
472344341.0167772162.01840.080.0,s40-eth1
3913915972.0167772162.01841.080.0,s37-eth1
4173219577.0167772162.01842.080.0,s38-eth1
1879639253.0167772162.01843.080.0,s39-eth1
2656972008.0167772162.01844.080.0,s40-eth1
3691254941.0167772162.01845.080.0,s37-eth1
3859603883.0167772162.01846.080.0,s38-eth1
4154288154.0167772162.01847.080.0,s39-eth1
2109610723.0167772162.01848.080.0,s40-eth1
1402168248.0167772162.01849.080.0,s37-eth1
155479635.0167772162.01850.080.0,s38-eth1
18276707.0167772162.01851.080.0,s39-eth1
