key,val
"[-0.04412707 -0.00600534 -0.01615035  0.0008413   0.07425086  0.08566267
 -0.04278339  0.01904691 -0.02343953 -0.03905646 -0.07407444 -0.07057627
  0.01046648 -0.00136024]",2
"[-0.03739305  0.02928136 -0.03453268 -0.01593701 -0.06989205 -0.04710642
 -0.03750783 -0.02077462  0.07975935  0.06503661  0.071433   -0.19926326
 -0.01283339 -0.01690232]",1
"[-0.04692455 -0.05984274  0.02280987 -0.08168616 -0.00581998 -0.00019158
  0.02636502 -0.00955622 -0.00596191 -0.01941433 -0.00114234 -0.02219041
 -0.00045824  0.00224208]",3
"[-0.04430155  0.04461713  0.13116853  0.05560483 -0.02550121  0.06148047
 -0.05212948 -0.01506305 -0.00490376  0.02875184  0.05467427 -0.00639074
 -0.00500593 -0.0121462 ]",4
"[-0.03630228 -0.05752034  0.05034183 -0.03595195 -0.02483561 -0.05306713
  0.12280218  0.06896172 -0.17530813 -0.04319569  0.01190908  0.01272141
  0.00594151  0.00618699]",1
"[-0.04460025 -0.00148953  0.0014154  -0.11621444  0.01737168 -0.05810417
  0.01034047  0.01367997 -0.03518819 -0.00815654  0.0599996  -0.06533111
  0.00451326 -0.00582668]",1
"[-0.03707378  0.03538664  0.01256757 -0.0036842   0.12075677  0.07768309
  0.09941639 -0.14831955  0.12816457 -0.09682359  0.14027803  0.12790536
  0.00518248  0.03107016]",1
"[-0.04604419 -0.05153062 -0.05123334  0.04968003 -0.03827481 -0.00213711
  0.04637826  0.0552622   0.00146355  0.05688614  0.02394372 -0.00177623
 -0.0043249  -0.00280797]",7
"[-0.0127514   0.02636725  0.04305036  0.03677041  0.07778146 -0.03523223
  0.14096633 -0.00371453  0.11222692 -0.01788808 -0.08214275  0.04473836
  0.0004157   0.08344486]",1
"[-0.03431164  0.0556392   0.06173187  0.04279278 -0.00588512 -0.07680237
 -0.02305744  0.04083275 -0.01375018 -0.07129704 -0.06714781  0.00265093
  0.0075052   0.00938916]",3
"[-0.04580273  0.01151891 -0.01568535  0.01427391  0.00608565 -0.03073643
 -0.04207194 -0.00652988  0.03869737  0.06730279 -0.0879381  -0.02194902
  0.00005501 -0.00074739]",1
"[-0.04318562 -0.0430865   0.02718112 -0.09997071  0.02583253 -0.00555377
 -0.01538719 -0.03568659 -0.00113941 -0.05664318 -0.06066999 -0.08051662
  0.00339363  0.00398703]",1
"[-0.01499546  0.02595303  0.04600385  0.04850092  0.13584124 -0.02799181
  0.0984264  -0.0362391   0.03055901 -0.00530907 -0.01714256 -0.01186306
  0.00426453  0.02692924]",3
"[-0.04734686  0.03913361 -0.01468778  0.00828029 -0.01975901 -0.06485259
 -0.04570111 -0.02673719  0.04875948  0.05085755  0.03121348 -0.02735752
 -0.00240418 -0.00713231]",1
"[-0.03928981  0.04328557  0.10280475  0.0232237  -0.10034833  0.07571108
  0.02093025 -0.00559609  0.01730757  0.02379787  0.04722792 -0.02990543
 -0.01071546 -0.00559343]",2
"[-0.01397016  0.02810009  0.02876616  0.02703432  0.08238407 -0.02219123
  0.16829632 -0.02098919  0.05753691 -0.03169744 -0.06722037  0.05649046
  0.00388749  0.04212721]",2
"[-0.04549702 -0.01610538  0.02833802 -0.07793733  0.02103933 -0.12850403
 -0.05063187 -0.03965376  0.03113558 -0.0270511  -0.02195489 -0.03534839
  0.00235868  0.0022246 ]",1
"[-0.0439457  -0.0133213  -0.00714246  0.01579976  0.0572165   0.03827598
 -0.07128085 -0.05654523 -0.00309098 -0.05390802 -0.1001484  -0.08603958
  0.00699617  0.00100055]",1
"[-0.05348644 -0.05878475  0.06244629 -0.04905791  0.01968961 -0.02151801
 -0.03098614 -0.02958661  0.01619397  0.06489553 -0.03136568  0.03430224
 -0.00292885 -0.00278672]",5
"[-0.03568662  0.05985909  0.05974019  0.04016122  0.00792395 -0.05437992
 -0.03121457  0.03823219 -0.07001197  0.00080667  0.0113511  -0.05631804
  0.00502731 -0.00757958]",7
"[-0.04388594  0.05611588 -0.01078681 -0.0044598   0.01602368 -0.05070935
 -0.06443383  0.06233591  0.09978265 -0.00186934  0.0020992  -0.02248885
  0.00373948 -0.00125632]",2
